algorithm,init,crossover,run,seed,f1_compactness,f2_transformed_tolerance,f3_transformed_hamming_avg,f4_balance_var
NSGA2,random_dense,UX,1,2046743687,106.0,-0.2830188679245283,-0.4497524421249833,0.004624820995711229
NSGA2,random_dense,UX,1,2046743687,106.0,-0.2641509433962264,-0.42209454034524285,0.0037176230807865382
NSGA2,random_dense,UX,1,2046743687,232.0,-0.2025862068965517,-0.3249189899730986,0.0015046426855687802
NSGA2,random_dense,UX,1,2046743687,141.0,-0.22695035460992907,-0.3862796137015241,0.002586250406039367
NSGA2,random_dense,UX,1,2046743687,139.0,-0.2302158273381295,-0.3765306903413439,0.00243305942282204
NSGA2,random_dense,UX,1,2046743687,121.0,-0.23140495867768596,-0.3808466678389309,0.0026365852794862274
NSGA2,random_dense,UX,1,2046743687,103.0,-0.21359223300970873,-0.3944519038766095,0.003037812871281073
NSGA2,random_dense,UX,1,2046743687,245.0,-0.22040816326530613,-0.32905992184107685,0.0015797472549130903
NSGA2,random_dense,UX,1,2046743687,119.0,-0.24369747899159663,-0.40286220871327255,0.0030875316578490106
NSGA2,random_dense,UX,1,2046743687,108.0,-0.2777777777777778,-0.43790221959548203,0.0040513721870394665
NSGA2,random_dense,UX,1,2046743687,115.0,-0.22608695652173913,-0.3992445266728338,0.002968767902479113
NSGA2,random_dense,UX,1,2046743687,149.0,-0.2483221476510067,-0.37695154457613406,0.0025257631322544083
NSGA2,random_dense,UX,1,2046743687,115.0,-0.2608695652173913,-0.40254394079555966,0.0030754841495936806
NSGA2,random_dense,UX,1,2046743687,192.0,-0.17708333333333334,-0.3026697325650118,0.0012415941084465084
NSGA2,random_dense,UX,1,2046743687,226.0,-0.19469026548672566,-0.3210161300445616,0.0014594302916512542
NSGA2,random_dense,UX,1,2046743687,109.0,-0.1834862385321101,-0.37093337237295854,0.0027486480734725616
NSGA2,random_dense,UX,1,2046743687,200.0,-0.185,-0.3065957446808511,0.0012870812584880023
NSGA2,random_dense,UX,1,2046743687,160.0,-0.11875,-0.32180851063829785,0.0015566085002640653
NSGA2,random_dense,UX,1,2046743687,121.0,-0.24793388429752067,-0.4043578922689174,0.0031247889202073334
NSGA2,random_dense,UX,1,2046743687,125.0,-0.208,-0.40587943262411347,0.0031136308535787954
NSGA2,random_dense,UX,1,2046743687,94.0,-0.23404255319148937,-0.435566621397314,0.004089529053686543
NSGA2,random_dense,UX,1,2046743687,229.0,-0.2096069868995633,-0.3287458577224442,0.0015651967802032033
