generation,algorithm,init,crossover,run,seed,n_solutions,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
231,MOEAD_TCHE,greedy_multi,UX,1,1512656746,84,0.19827475816855059,1.8460921869147482,1.9020510980348468,0.03870020809766275,0.0035976060788092123,0.5453862960444753,0.21951219512195122,0.15001443472604223,15.745704576156703,0.02039599038362267
241,MOEAD_TCHE,greedy_multi,UX,1,1512656746,84,0.19827475816855059,1.8460921869147482,1.9022836057238295,0.0386979453220332,0.0035976060788092123,0.5459985751333948,0.21428571428571427,0.1498375819845675,15.749377321850726,0.02040074782623151
251,MOEAD_TCHE,greedy_multi,UX,1,1512656746,84,0.19827475816855059,1.8460921869147482,1.9022836057238295,0.03869954927298036,0.0035976060788092123,0.5477648505662055,0.21428571428571427,0.1504985704218986,15.785070499831136,0.02044698251273463
261,MOEAD_TCHE,greedy_multi,UX,1,1512656746,84,0.19827475816855059,1.8460921869147482,1.9022836057238295,0.038699578044301366,0.0035976060788092123,0.5509122932417986,0.21428571428571427,0.15131031382439641,15.86458333333333,0.02054997841105354
271,MOEAD_TCHE,greedy_multi,UX,1,1512656746,86,0.19827475816855059,1.8460921869147482,1.9022836057238295,0.03869958332812027,0.0035976060788092123,0.5554243510124239,0.21428571428571427,0.15227516863889537,15.963301995711694,0.02067785232605142
281,MOEAD_TCHE,greedy_multi,UX,1,1512656746,87,0.19827475816855059,1.8460921869147482,1.9022836057238295,0.03869959945933981,0.0035976060788092123,0.555499217311488,0.21428571428571427,0.15286934203348568,15.979090242112989,0.02069830342242615
291,MOEAD_TCHE,greedy_multi,UX,1,1512656746,87,0.19827475816855059,1.8460921869147482,1.9022836057238295,0.038699585576438,0.0035976060788092123,0.5562949684838032,0.21428571428571427,0.15303105771244277,15.988057389744844,0.020709918898633217
301,MOEAD_TCHE,greedy_multi,UX,1,1512656746,87,0.19974877476879965,1.8459292888542755,1.9022836057238295,0.03873629885578081,0.0035976060788092123,0.5474293615659058,0.21621621621621623,0.15132683930045715,15.754432624113477,0.020407296145224713
311,MOEAD_TCHE,greedy_multi,UX,1,1512656746,79,0.19974877476879965,1.8459292888542755,1.9022836057238295,0.03873587398195224,0.0035976060788092123,0.5537617851072666,0.21621621621621623,0.15295943543961082,15.921750157105663,0.020624028700914072
321,MOEAD_TCHE,greedy_multi,UX,1,1512656746,81,0.19974877476879965,1.8459292888542755,1.9018679781631445,0.03873767235725466,0.0035976060788092123,0.5547067280740394,0.21621621621621623,0.15330984846062534,15.938085544173017,0.020645188528721523
